Customer ID,Full Name,Email Address,Phone Number,Signup Date,Last Login,Age,Gender,Country,City,Account Balance,Is Active,Subscription Plan,Referral Source,Feedback Score,Device Type,Login Count,Average Session (mins),Total Spend,Last Purchase Date
123e4567-e89b-12d3-a456-426614174000,John Doe,johndoe@example.com,+1-202-555-0143,2022-01-01,2023-06-01T12:00:00,30,Male,United States,New York,$1000,Yes,Premium,Google,4.5,iOS,25,35.5,2000.0,2023-05-20
123e4567-e89b-12d3-a456-426614174000,John Doe,johndoe@example.com,+1-202-555-0143,2022-01-01,2023-06-01T12:00:00,30,Male,United States,New York,$1000,Yes,Premium,Google,4.5,iOS,25,35.5,2000.0,2023-05-20
123e4567-e89b-12d3-a456-426614174000,John Doe,JOHNDOE@example.com,+1-202-555-0143,2022-01-01,2023-06-01T12:00:00,30,Male,United States,New York,$1000,Yes,Premium,Google,4.5,iOS,25,35.5,2000.0,2023-05-20
123e4567-e89b-12d3-a456-426614174000,John Doe,johndoe@example.com,202-555-0143,2022-01-01,2023-06-01T12:00:00,30,Male,United States,New York,$1000,Yes,Premium,Google,4.5,iOS,25,35.5,2000.0,2023-05-20
123e4567-e89b-12d3-a456-426614174000,John  Doe,johndoe@example.com,+1-202-555-0143,2022-01-01,2023-06-01T12:00:00,30,Male,United States,New York,$1000,Yes,Premium,Google,4.5,iOS,25,35.5,2000.0,2023-05-20
123e4567-e89b-12d3-a456-426614174000,John Doe,johndoe@example.com,+1-202-555-0143,2022-01-01,2023-06-01T12:00:00,30,Male,United States,New York,1000,Yes,Premium,Google,4.5,iOS,25,35.5,2000.0,2023-05-20
123e4567-e89b-12d3-a456-426614174000,John Doe,johndoe@example.com,+1-202-555-0143,01-01-2022,2023-06-01T12:00:00,30,Male,United States,New York,$1000,Yes,Premium,Google,4.5,iOS,25,35.5,2000.0,2023-05-20
123e4567-e89b-12d3-a456-426614174000,John Doe,johndoe@example.com,+1-202-555-0143,2022-01-01,2023-06-01T12:00:00,30,MALE,United States,New York,$1000,Yes,Premium,Google,4.5,iOS,25,35.5,2000.0,2023-05-20
123e4567-e89b-12d3-a456-426614174000,John Doe,johndoe@example.com,+1-202-555-0143,2022-01-01,2023-06-01T12:00:00,30,Male,United States,new york,$1000,Yes,Premium,Google,4.5,iOS,25,35.5,2000.0,2023-05-20
123e4567-e89b-12d3-a456-426614174000,John Doe,johndoe@example.com,+1-202-555-0143,2022-01-01,2023-06-01T12:00:00,30,Male,United States,New York,$1000,Yes,Premium,Google,4.5,iOS,25,35.5,2000.0,2023-05-20
558f1273-d615-4122-a301-79c3dd569f8a,Caroline Herrera,jrose@yahoo.com,+1-950-120-6222x3407,2015-11-25,2015-10-02T11:45:56,67,Other,Serbia,North John,$385,Yes,Basic,Facebook,3.3,Android,194,46.48,5759.12,1994-02-02
